EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.0203946	0.0011484	0.000245621	0.994701	0.0254983	0.099597	0.00919556	0.942807	-0.333211	-0.102397	0.332361	0.937577	0.00218568	5.0321	0.533537	24432
0.020351	0.0093804	0.00086609	0.459756	0.791298	-0.403077	0.873966	-0.32267	0.363412	-0.157506	0.519356	0.839917	0.00441819	14.886	0.676498	22321
0.0202066	0.00143572	0.00102696	0.699323	-0.683012	-0.210813	-0.164893	-0.441114	0.882173	0.695527	0.582162	0.421105	0.00346586	4.74285	0.590306	19146
0.020196	0.00116125	0.000737969	0.808622	-0.469634	0.354365	0.340537	0.864788	0.369021	-0.479755	-0.177724	0.859214	0.00343464	4.82961	0.546777	1338
0.0201716	0.00322863	0.00214869	0.744263	-0.401812	0.533497	-0.657648	-0.301566	0.690331	0.116499	0.864641	0.488696	0.00849292	5.1694	0.677574	18596
0.0201399	0.00631237	0.00431442	-0.150611	0.444959	0.882795	0.890281	0.449266	-0.0745572	-0.429785	0.774707	-0.463803	0.00932035	7.36026	0.676596	19372
0.0199733	0.00497931	0.000608774	0.611546	0.265598	0.745298	0.419215	0.690115	-0.589915	-0.671021	0.673201	0.310695	0.00423085	7.38626	0.660259	21074
0.0199626	0.00178318	0.000978601	0.339838	-0.598962	0.725089	-0.234311	0.692743	0.68206	0.910828	0.401687	-0.0950772	0.00460553	3.73539	0.649191	18192
0.019584	0.0132064	0.000918282	0.969425	0.00199595	-0.24538	0.036333	0.987778	0.151576	0.242684	-0.155857	0.957504	0.00271648	9.5289	0.60288	16057
0.0195805	0.00425918	0.00192173	-0.403002	0.883608	-0.238384	0.909837	0.414965	0	-0.098921	0.216891	0.971171	0.00469921	7.67997	0.602948	23700
0.0195156	0.00918951	0.00135874	0.979852	-0.103139	-0.171031	0.159922	-0.107821	0.981224	0.119643	0.988806	0.0891542	0.0132233	6.91363	0.786133	18819
0.0194793	0.0101194	0.00121777	-0.504992	0.198472	0.839995	0.404386	0.914186	0.0271091	0.762532	-0.353372	0.541917	0.0126457	6.68448	0.783009	17876
0.0194792	0.00396853	0.000778577	0.912572	-0.358643	0.196437	0.408342	0.824695	-0.391325	-0.0216548	0.437325	0.899043	0.00593255	7.13885	0.60483	21491
0.0194119	0.00613865	0.00191952	0.613369	0.366322	-0.699705	0.467789	0.545314	0.695562	-0.636358	0.753951	-0.163117	0.00693172	7.706	0.602449	18079
0.019395	0.00755104	0.0010532	-0.0397085	0.840711	0.540026	0.823128	-0.278867	0.494665	0.566466	0.464153	-0.68094	0.00491777	7.96607	0.600021	18692
0.01931	0.00245572	0.000732676	0.575083	-0.0857956	0.813584	0.147555	0.989054	0	0.804678	-0.120048	-0.581448	0.00415279	6.10124	0.577737	20221
0.0192693	0.0081155	0.00209165	-0.250892	0.887457	0.386618	0.95876	0.172716	0.225718	-0.133539	-0.427305	0.894191	0.00891444	8.14518	0.689299	19749
0.0191364	0.00441719	0.00323791	0.980676	-0.102775	0.166466	-0.0290088	0.765097	0.643261	-0.193474	-0.63566	0.747331	0.00702539	9.588	0.644308	25437
0.0191018	0.00169288	0.000240122	-0.125636	0.832467	-0.539643	0.97757	0.196562	0.0756295	-0.169032	0.518037	0.83849	0.00137385	5.61881	0.536673	21781
0.0190585	0.007633	0.00351592	0.826958	0.551994	-0.106974	-0.541559	0.833112	0.112417	0.151175	-0.0350315	0.987886	0.0192496	4.02683	0.670292	20399
0.0190416	0.00461001	0.00245298	0.76124	-0.52886	-0.375261	0.601537	0.359748	0.713257	0.242214	0.768693	-0.591983	0.00969504	5.9911	0.581818	18444
0.0188927	0.00935744	0.00375454	0.805866	-0.588892	0.0615391	0.459106	0.555842	-0.693009	0.373901	0.586726	0.718297	0.0193901	5.13487	0.653188	18327
0.0186541	0.00248712	0.00142954	0.509651	-0.0489496	0.858988	0.83343	0.276014	-0.478759	-0.213658	0.959906	0.181467	0.00788405	4.38647	0.631999	28467
0.0185431	0.0140233	0.00510893	-0.41531	-0.106751	0.903395	0.622517	0.690787	0.367812	-0.663318	0.715135	-0.220437	0.0339248	4.74078	0.763691	17139
0.0184668	0.00572175	0.00412452	0.606788	0.794799	-0.0101482	0.787298	-0.599207	0.145302	-0.109405	0.0961574	0.989335	0.00844608	7.51344	0.713713	27660
0.0183782	0.00586404	0.00396815	-0.083224	0.978229	-0.190111	0.967513	0.125018	0.219748	-0.238731	0.165646	0.956854	0.0184221	4.12113	0.63497	12489
0.0183508	0.00192483	0.000328851	-0.28125	-0.270274	0.920788	-0.076852	0.962781	0.259126	0.956552	-0.00211487	0.291554	0.00190466	6.007	0.610663	34177
0.0183029	0.00673249	0.00422305	-0.628832	0.0272236	0.777064	0.560189	0.708931	0.428492	-0.539219	0.704753	-0.461049	0.020077	4.71896	0.741376	19205
0.0182642	0.00373385	0.000159179	0.453933	0.773929	-0.441565	0.890031	-0.370298	0.26594	0.0423081	-0.513725	-0.856911	0.00290383	8.09731	0.567548	34159
0.0182472	0.00605399	0.000404416	0.996458	0.0589973	0.0599192	-0.0150769	0.82637	-0.562926	-0.0827265	0.560029	0.824332	0.0056047	6.53364	0.558077	15966
0.0182388	0.00332295	0.00137824	-0.273577	0.886009	-0.374358	0.961603	0.26076	-0.0855776	-0.0217952	0.383396	0.923327	0.0023418	12.7029	0.552893	29182
0.0181979	0.00349037	0.00028325	0.880183	0.0448481	0.472512	-0.0247771	0.99851	-0.0486187	-0.473988	0.0310858	0.879982	0.00324729	7.02415	0.574887	17047
0.018135	0.00130857	0.000503374	0.00745747	0.88451	-0.466461	0.998902	0.0149833	0.0443813	-0.0462448	0.46628	0.883428	0.00290383	3.94674	0.5424	21926
0.0180089	0.00890616	0.00349713	0.556444	-0.589939	-0.585101	0.82571	0.314151	0.468521	-0.092589	-0.743829	0.661925	0.018469	5.58246	0.654739	12485
0.0179377	0.00561709	0.00401523	0.559379	0.474722	0.679511	-0.751739	0.635939	0.174556	-0.349262	-0.608458	0.712597	0.00827435	7.74275	0.576327	19800
0.0178832	0.00680984	0.00414852	0.57714	-0.198094	0.792255	0.187188	-0.912215	-0.36445	0.794903	0.358639	-0.489395	0.0153622	7.21052	0.673778	21327
0.0178306	0.00719312	0.00387868	0.904316	0.335202	-0.264296	0.274876	0.0164188	0.961339	-0.326583	0.942003	0.0772913	0.0159867	6.61985	0.736756	19663
0.0177121	0.00485063	0.00195225	0.89011	-0.159867	0.426786	-0.444264	-0.0954876	0.890793	0.101655	0.982509	0.156018	0.00969504	5.28025	0.566931	15475
0.0175847	0.00828594	0.0043712	0.482453	-0.415245	0.77124	0.529322	0.839747	0.121009	-0.697895	0.349853	0.624936	0.0202643	4.66789	0.779819	18317
0.0175389	0.00998498	0.00141809	0.832772	0.0785503	-0.548015	-0.402992	0.764729	-0.502779	0.37959	0.639546	0.6685	0.0102102	6.66122	0.687613	20079
0.0175125	0.00326592	0.0020168	0.391364	0.0414399	0.919302	0.672087	0.669517	-0.3163	-0.628596	0.74164	0.234174	0.00619795	4.72926	0.584656	14509
0.0173659	0.00439904	0.00374305	-0.0772105	0.929292	-0.361186	-0.513206	0.273544	0.813507	0.854786	0.248174	0.455798	0.00384055	12.9494	0.531381	28627
0.0173602	0.00519834	0.00393942	0.842827	0.449447	-0.29604	0.404369	-0.16586	0.899431	-0.355146	0.877774	0.321534	0.0100385	13.8392	0.573909	20117
0.0172897	0.00517051	0.00339436	0.772734	-0.60928	-0.177935	0.581168	0.566446	0.584279	-0.255199	-0.554902	0.791806	0.0148782	4.93999	0.832108	19089
0.0172719	0.0131104	0.00737957	0.90916	-0.00245073	0.41644	-0.12832	0.949679	0.285734	-0.396184	-0.313215	0.863096	0.0364696	4.4732	0.69695	18311
0.0172373	0.00440058	0.000979206	0.444732	0.764434	-0.466748	-0.540299	0.644597	0.540899	0.714346	0.0116282	0.699696	0.00263842	9.0992	0.550144	15844
0.0171643	0.00496892	0.00145591	0.631917	0.624739	-0.458675	-0.745151	0.652489	-0.137871	0.213147	0.428905	0.877843	0.00544858	8.3782	0.678227	15640
0.017119	0.00977979	0.00371907	-0.445753	-0.0411486	0.89421	-0.42637	0.888109	-0.171672	0.787092	0.457787	0.413421	0.0224969	4.60556	0.657164	20750
0.0169853	0.00487625	0.00120928	0.527383	0.539453	0.656398	-0.238473	-0.647529	0.723766	0.815474	-0.538235	-0.21285	0.00783721	5.61233	0.555577	21462
0.0169252	0.0027821	0.000516599	0.992437	-0.112507	0.0490923	0.04331	0.695148	0.717561	0.114857	0.710008	-0.694763	0.00274771	5.84309	0.497783	2432
0.016874	0.0058586	0.000639709	-0.277486	0.0680464	0.958317	0.789137	0.585073	0.186955	-0.547964	0.808121	-0.216047	0.0058701	7.59136	0.703605	28021
