EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.00323967	0.00227406	0.000677895	0.181399	-0.323467	0.928689	-0.517574	0.771579	0.369842	0.836189	0.547754	0.0274544	0.00159242	3.5445	0.310294	1593
0.00323298	0.00115226	0.00068946	0.392833	0.855575	-0.337155	-0.47649	0.502945	0.721112	0.786536	-0.122626	0.605247	0.00132702	3.00366	0.253549	1773
0.00322018	0.0011618	0.000459959	0.778461	-0.335099	0.53076	0.151451	0.920865	0.359263	-0.609147	-0.199289	0.767609	0.00138947	2.16339	0.285406	1720
0.00321553	0.00248607	0.00151711	-0.689653	0.678448	0.253155	0.146773	-0.211374	0.966322	0.70911	0.703583	0.0461968	0.00434013	2.28089	0.289482	895
0.00321392	0.00123426	0.000685253	0.915556	0.0622341	0.397346	-0.305132	-0.536139	0.787051	-0.262014	0.841833	0.471876	0.00167048	2.93928	0.264228	1550
0.00321322	0.00181959	0.000826775	-0.551723	0.796854	0.246223	0.799134	0.589578	-0.117398	0.238716	-0.131994	0.962077	0.00196711	2.74768	0.266966	1409
0.00321076	0.00132144	0.000504679	-0.598789	0.794914	0.0977949	-0.414531	-0.412078	0.811391	0.685285	0.445313	0.576264	0.0014363	2.35778	0.310089	1686
0.00320895	0.00285114	0.000382907	-0.711845	0.666759	0.220703	0.62902	0.745027	-0.221966	0.312428	0.0191786	0.949748	0.00184221	3.07328	0.280081	1459
0.00320849	0.00102914	0.000589245	-0.250849	0.958566	-0.135001	0.952854	0.21991	-0.209068	0.170718	0.18108	0.968538	0.0015612	1.91601	0.244684	1607
0.00320764	0.00208397	0.000620303	0.81667	-0.487044	0.309579	0.498899	0.865465	0.045493	-0.290087	0.117296	0.949785	0.0011709	4.35976	0.280827	1901
0.00320754	0.00161661	0.000562141	0.0897546	0.488667	0.867841	0.156776	0.853563	-0.496841	0.983547	-0.18065	0	0.00146753	3.01026	0.265317	1664
