gamma	logK
29.084944401466075	-0.4158332363322106
0.	-0.7429132137001058
11.472786638562381	0.
0.11925770376108634	-0.5906744941325375
23.39580318446597	-0.4804335453828854
1.2344162516844152e-10	-0.6673527957915482
11.06416981788574	-0.13023773632064023
9.433447996190983	-0.20226186864150483
7.905662677678883e-9	-0.4582730625844359
5.39599816008236e-9	-0.5799813563667872
2.956024646176158	-0.29351303171397414
1.1015983166861048	-0.532786658532299
16.187796639233298	-0.18116849894690576
9.857259047437673e-10	-0.2704168203756173
24.069800968284778	-0.015527649519236592
15.276279338761325	-0.5892955621325425
0.8694083155728419	-0.6340766234379095
8.891821014996436	-0.23546200626469505
0.1461584434441034	-0.298251799333264
0.	-0.44727930242445496
0.	-0.48555885293972545
3.445274046913421e-8	-0.6599902337984349
8.435287906791517	-0.24401525065601268
0.003938801704128304	-0.13558042501859563
12.822100015719828	0.
3.2166377025500823e-9	-0.5279101772428095
0.05504343949693088	-0.32930494241964037
0.9318113771170262	-0.36606362464510317
9.924133588228603	-0.3730572904805607
23.95833593677897	-0.42543691649531873
25.356893038568625	-0.5470398874825735
16.80543200598923	-0.2909535188122462
0.42408871457133845	-0.3214731473764379
0.	-0.5198761451314434
1.626056136346416	-0.299201011124273
9.89885026897615	-0.20486700053925627
0.	-0.1038355644281611
17.08339106834197	-0.11615322247107848
9.6577456050559	-0.1677372978129567
1.576123859315517e-9	-0.3772277524134506
0.9438501388598509	-0.6097512677777898
1.9230753069764844e-9	-0.3073061777995002
17.901694241489125	-0.20190302378126113
0.0037794123316748185	-0.40408531474986914
23.933383346570885	-0.32951413204161845
0.3409588448819583	-0.9583598681901406
26.230726803405876	-0.11252801868695135
9.641275794052	-0.1798919561613662
0.5259375662455711	-0.6766984118934738
0.	-0.361373662881266
29.684695155997957	-0.43328089227858124
0.7277636505159218	-0.3148311292983901
0.34740017350924196	-0.584571924359495
27.017924162206295	-0.5149317037439078
22.352045315524567	-0.032434745925085065
0.2760157118930213	-0.2502551286141638
0.5528571082341915	-0.34245396682908574
14.144786697200008	-0.7066441190188807
0.8975167265549783	-0.6085988618669363
7.661328530175123	-0.5875130374987116
5.515375451000177e-9	-0.5390096313147134
0.	-0.3750515362357154
0.7623971609891246	-0.03622607889649109
9.65220114449409	-0.04713617139005022
0.979546824321236	-0.4073696251504114
8.98614576045761	-0.3656926289042953
10.824840595436656	-0.38045592096214076
0.2482285713728433	-0.46721177285628807
1.6177769366395173e-9	-0.5172022720769534
7.179164135428198e-7	-0.44900448551996947
1.98209552437707e-9	-0.5149217107773543
1.3143316713105324e-8	-0.19433631340993224
0.38673187722238567	-0.298383215801544
1.729655290127465e-9	-0.31099953385131807
29.539002683807798	-0.6367297104299499
5.7304802337386465e-9	-0.438764658519777
0.6350482558497874	-0.4201106286596096
0.30035136249262917	-0.34247142159038374
8.725412345341722	-0.10059526871102081
19.02228959144065	0.
0.5553164965684805	-0.8906879283818554
13.273091379744786	-0.07424484866103076
21.447339458896902	-0.3238223947314365
0.23050214140545963	-0.4605049317544017
0.17070478493622648	-0.5180713558022912
2.2365919131645127e-9	-0.545511786843697
0.5618990546813243	-0.5879030259848225
26.08075208471294	-0.2693197583352117
1.4015721573932748e-9	-0.38857893062516946
0.1585755490947472	-0.23302793350670487
0.8915165662624849	-0.15878999066506633
29.88907902379964	-0.29058375983053003
0.19898975716671244	-0.41201693592944943
0.4404127820151985	-0.1291419499511717
1.1311051297808243	-0.08063919710522474
4.409584501876218e-9	-0.45278614481354534
17.245534406770428	-0.540780483716781
4.831355178350049e-8	-0.29211764746675273
10.161720603657002	-0.2172134278265145
27.82522087706058	-0.43076119947554947
23.02239749731527	-0.1093559449510316
0.15143155756592103	-0.3176465188176363
0.	-0.474885961155054
3.4136445906758175e-9	-0.5214791017787556
0.12367383378478297	-0.681651606511198
10.929549521931717	-0.2739080122910035
7.197910374270501	-0.424960568780677
0.7438327894993603	-0.20173377311079055
1.376224442718913e-9	-0.5479956323416886
7.78908440422724e-9	-0.624190363548744
0.5192636326142573	-0.3236883180256043
0.	-0.21411177298946693
8.861302830896563e-11	-0.4352647469392501
0.19971305811970494	-0.18354232007242238
1.0113522771952206e-7	-0.34514434552051604
4.043987886014675e-9	-0.6519750789869436
23.030335745520592	-0.4209471493253365
1.1329283865595872	0.
0.04820747948427811	-0.503434787887224
2.186046179121532e-9	-0.6200935569030425
9.889985057376476	-0.22606321846410907
7.789112974308871e-9	-0.27981919911373504
12.392586339083229	-0.3144094744845654
25.62473429322595	-0.6785935486919026
0.	-0.4331623025008498
8.565085676100917	-0.12175910253829304
