easting	northing	strike 	dip
507947.2114	3869890.059	353	65
507947.2114	3869890.059	355	65
507947.2114	3869890.059	358	49
507947.2114	3869890.059	357	58
507947.2114	3869890.059	0	63
507947.2114	3869890.059	12	53
507947.2114	3869890.059	17	65
507947.2114	3869890.059	335	80
507947.2114	3869890.059	32	50
507947.2114	3869890.059	4	66
507947.2114	3869890.059	350	64
507947.2114	3869890.059	350	61
507947.2114	3869890.059	345	59
507947.2114	3869890.059	335	58
507947.2114	3869890.059	340	67
507947.2114	3869890.059	347	58
508465.6303	3871834.753	33	52
508465.6303	3871834.753	10	59
508465.6303	3871834.753	5	55
508465.6303	3871834.753	6	2
508465.6303	3871834.753	20	45
508465.6303	3871834.753	12	60
508465.6303	3871834.753	21	50
508465.6303	3871834.753	35	49
508465.6303	3871834.753	60	58
508465.6303	3871834.753	42	59
508465.6303	3871834.753	11	65
508465.6303	3871834.753	33	56
508465.6303	3871834.753	36	55
507980.2194	3873998.901	348	50
507980.2194	3873998.901	15	60
507980.2194	3873998.901	0	68
507980.2194	3873998.901	8	75
507980.2194	3873998.901	20	61
507980.2194	3873998.901	55	73
507980.2194	3873998.901	35	65
507980.2194	3873998.901	262	80
507980.2194	3873998.901	20	50
507980.2194	3873998.901	16	38
507980.2194	3873998.901	6	67
507980.2194	3873998.901	29	74
507980.2194	3873998.901	30	59
