x1	y1	z1	x2	y2	z2	x3	y3	z3
-0.31462	0.010217	0.94916	-0.9059	-0.30186	-0.29703	0.28348	-0.9533	0.10423
-0.31462	0.010217	0.94916	-0.9059	-0.30186	-0.29703	0.28348	-0.9533	0.10423
-0.36625	0.0071999	0.93049	-0.87106	-0.35436	-0.34012	0.32727	-0.93508	0.13606
-0.35582	0.0079829	0.93452	-0.88354	-0.32873	-0.3336	0.30454	-0.94439	0.12402
-0.35921	0.0052251	0.93324	-0.88681	-0.31346	-0.33958	0.29076	-0.94959	0.11723
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.32002	-0.03157	0.94689	-0.89836	-0.3073	-0.31386	0.30088	-0.95109	0.069979
-0.32002	-0.03157	0.94689	-0.89836	-0.3073	-0.31386	0.30088	-0.95109	0.069979
-0.32002	-0.03157	0.94689	-0.89836	-0.3073	-0.31386	0.30088	-0.95109	0.069979
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.26588	-0.080588	0.96063	-0.81711	-0.50991	-0.26893	0.51151	-0.85644	0.069725
-0.23969	-0.013618	0.97075	-0.82803	-0.51917	-0.21173	0.50687	-0.85456	0.11317
-0.3135	-0.036437	0.94889	-0.82982	-0.47528	-0.29241	0.46164	-0.87908	0.11876
-0.33778	-0.020656	0.941	-0.84638	-0.4307	-0.31327	0.41176	-0.90226	0.128
-0.32162	-0.015425	0.94674	-0.85414	-0.42682	-0.29711	0.40867	-0.90421	0.1241
