EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.112246	0.0383757	0.0262105	-0.146506	0.503941	0.851222	0.252875	0.850995	-0.460284	0.956342	-0.147819	0.25211	0.345399	3.54242	1.51355	8
0.110363	0.0188323	0.0142884	-0.283128	0.813781	-0.507543	0.777206	0.504747	0.375741	-0.561951	0.288083	0.775383	0.175916	4.25022	1.56653	1228
0.109817	0.0212905	0.00987299	-0.0877575	0.783536	-0.615117	0.995074	0.0403707	-0.0905409	0.0461094	0.620033	0.78322	0.111719	4.42395	1.24095	4566
0.10947	0.0904343	0.0201031	0.632706	0.260097	-0.729406	0.771508	-0.130504	0.622691	-0.0667691	0.956723	0.283237	0.386303	9.25953	1.70098	5084
0.108489	0.0244182	0.0161335	0.259268	0.681016	0.684834	-0.393898	-0.572866	0.718797	0.88183	-0.456116	0.119725	0.197382	9.00821	1.39413	746
0.105309	0.0470534	0.0090938	0.934852	-0.231978	0.26877	0.0586838	0.84757	0.527428	-0.350154	-0.477295	0.805966	0.0843827	16.7857	1.41102	1491
0.102749	0.0331883	0.0191215	0.350922	-0.431047	0.831295	0.610541	0.77843	0.145902	-0.709996	0.456339	0.53634	0.219192	5.31648	1.398	4863
0.0993288	0.031211	0.00791349	0.437268	0.898748	0.0323762	-0.401997	0.163126	0.900993	0.804485	-0.406991	0.432624	0.106895	4.47363	1.22629	2813
0.0986581	0.0438675	0.0226913	0.467892	-0.39331	0.791444	0.0456763	0.905081	0.422779	0.882605	0.161665	-0.441445	0.348553	3.32169	1.52566	5249
0.0977587	0.0711519	0.0322975	-0.353191	0.584193	0.730735	-0.112374	0.748929	-0.653053	0.928778	0.312768	0.198867	0.24019	16.2532	1.58342	2528
0.0973099	0.0310155	0.0226954	0.598071	0.163524	0.784583	0.800889	-0.0855575	-0.592669	-0.0297886	0.982822	-0.182134	0.210746	5.48225	1.2954	1948
0.0948817	0.0293676	0.0102237	-0.217748	0.865723	0.450677	-0.500703	-0.495449	0.709808	0.837784	-0.0710958	0.541353	0.181583	4.1232	1.43754	5613
0.0942276	0.0156348	0.0129342	0.95514	0.289715	0.0614175	-0.287152	0.956717	-0.0472887	-0.0724594	0.0275311	0.996991	0.133779	4.61736	1.25701	1480
0.0922608	0.0406196	0.0235993	0.915025	-0.0956197	-0.391902	0.381737	-0.108823	0.917843	0.130412	0.989452	0.0630739	0.271086	4.86024	1.34245	5192
0.0909682	0.00777475	0.00491923	0.0779536	-0.703036	0.706869	0.79015	-0.38879	-0.47382	0.607936	0.595469	0.525196	0.0283982	6.79915	1.13095	3521
0.0909589	0.0184685	0.0111873	0.220216	0.0512302	0.974105	0.958111	-0.198815	-0.206144	0.183106	0.978697	-0.0928664	0.127706	3.7985	1.17408	487
0.0900901	0.0298131	0.0189362	-0.129991	0.326679	0.936153	-0.777825	0.551927	-0.300606	0.61489	0.76724	-0.182353	0.233446	5.06921	1.31841	860
0.0845243	0.0391017	0.0331674	0.977028	0.213003	-0.00679345	-0.0452454	0.238477	0.970094	-0.208253	0.947501	-0.242636	0.305698	6.2146	1.53199	4589
0.0817976	0.0396516	0.0222098	0.918211	0.340935	0.201624	-0.268717	0.910161	-0.315274	-0.290998	0.235308	0.927335	0.123069	12.2683	1.46895	3227
0.0796935	0.0392556	0.016202	-0.34444	0.304389	0.888092	0.938806	0.113746	0.325123	-0.00205336	0.945732	-0.324941	0.257598	3.69298	1.34354	348
0.0784762	0.0491307	0.0161839	-0.0335601	0.967855	-0.24926	0.969639	-0.0289154	-0.242827	0.242229	0.249841	0.937499	0.256926	4.42482	1.28335	394
0.0773137	0.0173978	0.0119417	0.743842	0.593569	0.307204	-0.423953	0.774374	-0.469691	-0.516685	0.219136	0.827657	0.152451	3.42808	1.29757	4328
0.0740719	0.0104643	0.00106144	0.497374	0.854936	-0.147325	0.770555	-0.357334	0.527785	-0.398578	0.376028	0.836504	0.0296471	6.81604	1.12208	1551
0.0735081	0.0124143	0.00524534	0.504628	-0.131798	0.853217	0.581748	-0.678308	-0.44885	0.637902	0.72286	-0.26562	0.0649458	4.82919	1.04009	5482
0.0732276	0.0145214	0.00662338	-0.208494	0.965966	-0.153103	0.0720014	0.171279	0.982588	0.97537	0.19384	-0.105262	0.070332	4.23097	1.14157	2375
0.0728576	0.0370404	0.00281404	-0.0770457	0.485246	0.870977	-0.130114	0.861209	-0.491314	0.988501	0.15118	0.00321533	0.031224	11.9952	1.11816	3665
0.0714508	0.0219017	0.0114786	-0.255853	0.9514	0.171397	0.309417	-0.087378	0.946904	0.91586	0.295302	-0.272023	0.117933	4.18753	1.17128	5659
0.0686026	0.043111	0.0176583	0.867416	0.064355	-0.493404	0.487965	0.0840067	0.868811	-0.0973615	0.994385	-0.0414658	0.132717	9.71919	1.30253	5047
0.0666721	0.0089862	0.00585868	0.937511	-0.286135	0.197989	0.021775	0.616138	0.787337	0.347273	0.733826	-0.583867	0.0661167	3.07562	0.959009	116
0.0665119	0.0167684	0.00915489	-0.553188	0.81016	0.193968	0.519174	0.153188	0.840828	0.651492	0.565839	-0.505356	0.0991048	3.56441	1.12674	3917
0.0652295	0.0433986	0.0206402	0.106115	0.810426	0.57615	-0.935429	-0.115136	0.33424	0.337212	-0.574416	0.745878	0.242516	3.85941	1.30913	790
0.0651523	0.0337763	0.0195248	0.446439	0.834615	0.322661	0.8718	-0.324441	-0.367019	0.201635	-0.445147	0.872461	0.167954	4.3676	1.16512	2771
0.0633197	0.00809693	0.00237399	0.360561	-0.584394	0.726966	-0.381718	0.618685	0.686674	0.85105	0.525084	0	0.0324417	5.19565	1.1013	4998
